="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="count",="mean",="sd",="min",="max"
="outcome_metrics",="2182",="82.707",="34.166",="4.395",="172.911"
="input_metrics",="2182",="27.597",="5.048",="15.119",="39.408"
="size",="2182",="2.683",="0.196",="2.315",="2.989"
="ROE",="2182",="12.942",="2.928",="8.084",="17.924"
="ZCFZL",="2182",="52.550",="7.180",="40.174",="64.784"
="jgcg",="2182",="50.009",="11.673",="30.460",="69.597"
="NHSYL",="2182",="12.503",="4.269",="5.182",="19.857"
="N",="2182",="",="",="",=""
