="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="count",="mean",="sd",="min",="max"
="负面新闻数_t1",="3329",="11.424",="9.459",="0.000",="123.000"
="esg",="3329",="0.326",="0.213",="0.000",="1.146"
="Treat",="3329",="0.312",="0.463",="0.000",="1.000"
="Post",="3329",="0.500",="0.500",="0.000",="1.000"
="ln_size",="3329",="15.979",="0.581",="15.021",="16.979"
="ZCFZL",="3329",="52.520",="7.310",="40.235",="64.802"
="ROE",="3329",="12.997",="2.859",="8.123",="17.879"
="jgcg",="3329",="65.295",="8.687",="50.385",="79.767"
="N",="3329",="",="",="",=""
